navn,symbol,storkreds,kmeans,x,y,x_pca,y_pca,y2_pca
Joachim B. Olsen,I,Københavns Omegns Storkreds,I,31.562132000000002,14.395195999999999,7.764955990464126,6.029702853744146,0.28586990632241266
Joan  Kragh,Å,Sjællands Storkreds,Å,-25.599485,12.907219,-4.650285862171191,0.4059521711278386,-0.6140061640961317
John Axelsen,I,Sjællands Storkreds,I,31.0572,16.71278,6.172873230052057,7.510352848320212,0.41558833195918926
John Rasmussen,I,Sydjyllands Storkreds,I,28.998526000000002,17.665567000000003,4.558720889513409,6.558938678488768,1.0509598022643942
John Bjerg,D,Nordjyllands Storkreds,D,35.932915,-5.8472995999999995,8.780338756393375,-0.7681983784482035,3.3948532871417716
John Erik Wagner,UP,Københavns Storkreds,S,-16.298697,0.23257688,-2.408702910051326,-1.9810375149410315,2.088027805137235
Johnnie Vang Gregersen,K,Københavns Omegns Storkreds,K,-12.905759,7.556764,-2.1848744270332174,0.8336459409144616,-1.1174435709914048
Johnny Zaar,Ø,Vestjyllands Storkreds,F,-29.771458000000003,-4.2310452000000005,-8.406145409952215,0.23205812416104435,2.458732342829334
Jonas Ghiyati,F,Sjællands Storkreds,B,-22.226974,5.140167,-6.638749591444225,1.4384674521272542,-0.7012718395001567
Jonas Hulgaard Ammundsen,Ø,Fyns Storkreds,F,-32.697502,-2.0888596,-6.8729715554298885,-0.828450125514603,2.194045086984483
Jonas Simonsen,I,Fyns Storkreds,I,27.80265,14.530823999999999,5.115426308519062,4.179809151037249,-1.5875644423777553
Jonathan Simmel,Ø,Københavns Storkreds,Ø,-40.348729999999996,-7.270129700000001,-8.293329862692458,0.9582476517879129,4.6132757448075274
Jonathan  Ries,Å,Københavns Storkreds,Å,-27.675749,8.388522,-7.687496708682351,1.6211770235515166,-0.9698955992302891
Jonna Buch Andersen,B,Sydjyllands Storkreds,B,-14.887004000000001,10.895501,-3.269151536679975,0.8102906015689194,-3.175948906705398
Josefine Schlosser,B,Vestjyllands Storkreds,B,-19.402164000000003,8.325191499999999,-4.861998820855565,3.4337304113157354,-1.4990221084305067
Josh Bjørkman,D,Sjællands Storkreds,D,41.62293,2.013186,7.271213329535541,3.001027311254015,3.1748755413933734
Judith  Frederiksen,F,Sjællands Storkreds,S,-8.840371000000001,-12.708515,-1.8466888129800285,-1.6391756372385482,0.13066845585384482
Julie Jacobsen,O,Københavns Storkreds,O,24.129549,-12.615116,4.041797635091696,-4.220387235180904,2.366174270410411
Julie Gottschalk,O,Sydjyllands Storkreds,O,32.035854,-9.967509,7.524581159198876,-3.192806979854392,3.288870222500692
Julie Skovsby,S,Fyns Storkreds,S,-7.9402547000000006,-8.351439,-0.5041785353359125,-5.109463886771979,-1.2575971360109954
Julie Katinka  Herdal Molbech,Å,Nordsjællands Storkreds,Å,-25.39919,6.7416339999999995,-4.3209896096368565,1.8722430873972804,-0.6566606178347153
Jørgen Nielsen,C,Fyns Storkreds,C,24.894373,5.243456,4.424821372623812,0.7414184319272366,-2.8972500795729714
Jørn Rasmussen,D,Sjællands Storkreds,D,38.903220000000005,-0.6906456,7.883871812794314,1.8022112526036937,3.0164664036991677
Karen Melchior,B,Østjyllands Storkreds,B,-25.28315,9.298936999999999,-5.4848794315442975,2.9449130924475315,-1.3238322218699645
Karen-Margrethe Lysholm,K,Vestjyllands Storkreds,K,-5.981696,4.028499,-0.4423555152649832,-1.3662963202092104,-1.0721489184915836
Karin  Rohr Genz,Å,Sydjyllands Storkreds,F,-27.145785999999998,-0.56217706,-7.4712889375694385,0.4209879371847171,0.36020502929033277
Karin Nødgaard,O,Sjællands Storkreds,O,32.724003,-8.690429,5.297909260770005,-2.860896144370062,2.6872347978230433
Karin Gaardsted,S,Vestjyllands Storkreds,S,-8.773688,-9.320157,-1.4412191807313774,-5.169089309353799,-0.7542718887555669
Karina Rohrberg Jessen,V,Østjyllands Storkreds,V,18.078888,-2.5477476,6.396419903193401,-1.9495806250218406,-1.7564925111526235
